3.2478 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
0.7456 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.7571 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.7720 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.7852 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.7971 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8086 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8208 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8331 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8444 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8558 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8679 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=str(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1.04,  1.04]), texRes=128, units=u'norm', win=Window(...))
0.8679 	EXP 	Running a stable block
0.8697 	EXP 	window1: blendMode = 'avg'
0.8773 	EXP 	window1: blendMode = 'avg'
0.8970 	EXP 	window1: blendMode = 'avg'
0.9140 	EXP 	window1: blendMode = 'avg'
0.9328 	EXP 	window1: blendMode = 'avg'
0.9496 	EXP 	window1: blendMode = 'avg'
0.9666 	EXP 	window1: blendMode = 'avg'
0.9831 	EXP 	window1: blendMode = 'avg'
1.0009 	EXP 	window1: blendMode = 'avg'
1.0169 	EXP 	window1: blendMode = 'avg'
1.0339 	EXP 	window1: blendMode = 'avg'
1.0502 	EXP 	window1: blendMode = 'avg'
1.0669 	EXP 	window1: blendMode = 'avg'
1.0830 	EXP 	window1: blendMode = 'avg'
1.1005 	EXP 	window1: blendMode = 'avg'
1.1177 	EXP 	window1: blendMode = 'avg'
1.1341 	EXP 	window1: blendMode = 'avg'
1.1507 	EXP 	window1: blendMode = 'avg'
1.1679 	EXP 	window1: blendMode = 'avg'
1.1836 	EXP 	window1: blendMode = 'avg'
1.2014 	EXP 	window1: blendMode = 'avg'
1.2173 	EXP 	window1: blendMode = 'avg'
1.2339 	EXP 	window1: blendMode = 'avg'
1.2506 	EXP 	window1: blendMode = 'avg'
1.2673 	EXP 	window1: blendMode = 'avg'
1.2842 	EXP 	window1: blendMode = 'avg'
1.3001 	EXP 	window1: blendMode = 'avg'
1.3171 	EXP 	window1: blendMode = 'avg'
1.3334 	EXP 	window1: blendMode = 'avg'
1.3499 	EXP 	window1: blendMode = 'avg'
1.3674 	EXP 	window1: blendMode = 'avg'
1.3834 	EXP 	window1: blendMode = 'avg'
1.4004 	EXP 	window1: blendMode = 'avg'
1.4158 	EXP 	window1: blendMode = 'avg'
1.4336 	EXP 	window1: blendMode = 'avg'
1.4506 	EXP 	window1: blendMode = 'avg'
1.4673 	EXP 	window1: blendMode = 'avg'
1.4844 	EXP 	window1: blendMode = 'avg'
1.5006 	EXP 	window1: blendMode = 'avg'
1.5173 	EXP 	window1: blendMode = 'avg'
1.5342 	EXP 	window1: blendMode = 'avg'
1.5519 	EXP 	window1: blendMode = 'avg'
1.5664 	EXP 	window1: blendMode = 'avg'
1.5829 	EXP 	window1: blendMode = 'avg'
1.6005 	EXP 	window1: blendMode = 'avg'
1.6165 	EXP 	window1: blendMode = 'avg'
1.6330 	EXP 	window1: blendMode = 'avg'
1.6488 	EXP 	window1: blendMode = 'avg'
1.6661 	EXP 	window1: blendMode = 'avg'
1.6835 	EXP 	window1: blendMode = 'avg'
1.6994 	EXP 	window1: blendMode = 'avg'
1.7163 	EXP 	window1: blendMode = 'avg'
1.7340 	EXP 	window1: blendMode = 'avg'
1.7496 	EXP 	window1: blendMode = 'avg'
1.7658 	EXP 	window1: blendMode = 'avg'
1.7830 	EXP 	window1: blendMode = 'avg'
1.7993 	EXP 	window1: blendMode = 'avg'
1.8155 	EXP 	window1: blendMode = 'avg'
1.8322 	EXP 	window1: blendMode = 'avg'
1.8499 	EXP 	window1: blendMode = 'avg'
1.8657 	EXP 	window1: blendMode = 'avg'
1.8834 	EXP 	window1: blendMode = 'avg'
1.8994 	EXP 	window1: blendMode = 'avg'
1.9168 	EXP 	window1: blendMode = 'avg'
1.9324 	EXP 	window1: blendMode = 'avg'
1.9493 	EXP 	window1: blendMode = 'avg'
1.9660 	EXP 	window1: blendMode = 'avg'
1.9831 	EXP 	window1: blendMode = 'avg'
2.0020 	EXP 	window1: blendMode = 'avg'
2.0162 	EXP 	window1: blendMode = 'avg'
2.0332 	EXP 	window1: blendMode = 'avg'
2.0496 	EXP 	window1: blendMode = 'avg'
2.0658 	EXP 	window1: blendMode = 'avg'
2.0823 	EXP 	window1: blendMode = 'avg'
2.0991 	EXP 	window1: blendMode = 'avg'
2.1168 	EXP 	window1: blendMode = 'avg'
2.1325 	EXP 	window1: blendMode = 'avg'
2.1498 	EXP 	window1: blendMode = 'avg'
2.1659 	EXP 	window1: blendMode = 'avg'
2.1827 	EXP 	window1: blendMode = 'avg'
2.2000 	EXP 	window1: blendMode = 'avg'
2.2165 	EXP 	window1: blendMode = 'avg'
2.2327 	EXP 	window1: blendMode = 'avg'
2.2496 	EXP 	window1: blendMode = 'avg'
2.2660 	EXP 	window1: blendMode = 'avg'
2.2836 	EXP 	window1: blendMode = 'avg'
2.2988 	EXP 	window1: blendMode = 'avg'
2.3161 	EXP 	window1: blendMode = 'avg'
2.3325 	EXP 	window1: blendMode = 'avg'
2.3491 	EXP 	window1: blendMode = 'avg'
2.3660 	EXP 	window1: blendMode = 'avg'
2.3825 	EXP 	window1: blendMode = 'avg'
2.3997 	EXP 	window1: blendMode = 'avg'
2.4164 	EXP 	window1: blendMode = 'avg'
2.4328 	EXP 	window1: blendMode = 'avg'
2.4496 	EXP 	window1: blendMode = 'avg'
2.4656 	EXP 	window1: blendMode = 'avg'
2.4838 	EXP 	window1: blendMode = 'avg'
2.4991 	EXP 	window1: blendMode = 'avg'
2.5160 	EXP 	window1: blendMode = 'avg'
2.5320 	EXP 	window1: blendMode = 'avg'
2.5491 	EXP 	window1: blendMode = 'avg'
2.5655 	EXP 	window1: blendMode = 'avg'
2.5824 	EXP 	window1: blendMode = 'avg'
2.5993 	EXP 	window1: blendMode = 'avg'
2.6159 	EXP 	window1: blendMode = 'avg'
2.6321 	EXP 	window1: blendMode = 'avg'
2.6489 	EXP 	window1: blendMode = 'avg'
2.6658 	EXP 	window1: blendMode = 'avg'
2.6829 	EXP 	window1: blendMode = 'avg'
2.6995 	EXP 	window1: blendMode = 'avg'
2.7159 	EXP 	window1: blendMode = 'avg'
2.7328 	EXP 	window1: blendMode = 'avg'
2.7496 	EXP 	window1: blendMode = 'avg'
2.7659 	EXP 	window1: blendMode = 'avg'
2.7821 	EXP 	window1: blendMode = 'avg'
2.7996 	EXP 	window1: blendMode = 'avg'
2.8154 	EXP 	window1: blendMode = 'avg'
2.8320 	EXP 	window1: blendMode = 'avg'
2.8488 	EXP 	window1: blendMode = 'avg'
2.8671 	EXP 	window1: blendMode = 'avg'
2.8823 	EXP 	window1: blendMode = 'avg'
2.8989 	EXP 	window1: blendMode = 'avg'
2.9159 	EXP 	window1: blendMode = 'avg'
2.9328 	EXP 	window1: blendMode = 'avg'
2.9488 	EXP 	window1: blendMode = 'avg'
2.9660 	EXP 	window1: blendMode = 'avg'
2.9819 	EXP 	window1: blendMode = 'avg'
2.9990 	EXP 	window1: blendMode = 'avg'
3.0149 	EXP 	window1: blendMode = 'avg'
3.0315 	EXP 	window1: blendMode = 'avg'
3.0484 	EXP 	window1: blendMode = 'avg'
3.0647 	EXP 	window1: blendMode = 'avg'
3.0818 	EXP 	window1: blendMode = 'avg'
3.0980 	EXP 	window1: blendMode = 'avg'
3.1164 	EXP 	window1: blendMode = 'avg'
3.1317 	EXP 	window1: blendMode = 'avg'
3.1493 	EXP 	window1: blendMode = 'avg'
3.1652 	EXP 	window1: blendMode = 'avg'
3.1820 	EXP 	window1: blendMode = 'avg'
3.1991 	EXP 	window1: blendMode = 'avg'
3.2150 	EXP 	window1: blendMode = 'avg'
3.2326 	EXP 	window1: blendMode = 'avg'
3.2485 	EXP 	window1: blendMode = 'avg'
3.2647 	EXP 	window1: blendMode = 'avg'
3.2821 	EXP 	window1: blendMode = 'avg'
3.2982 	EXP 	window1: blendMode = 'avg'
3.3150 	EXP 	window1: blendMode = 'avg'
3.3315 	EXP 	window1: blendMode = 'avg'
3.3484 	EXP 	window1: blendMode = 'avg'
3.3650 	EXP 	window1: blendMode = 'avg'
3.3812 	EXP 	window1: blendMode = 'avg'
3.3987 	EXP 	window1: blendMode = 'avg'
3.4156 	EXP 	window1: blendMode = 'avg'
3.4321 	EXP 	window1: blendMode = 'avg'
3.4492 	EXP 	window1: blendMode = 'avg'
3.4651 	EXP 	window1: blendMode = 'avg'
3.4828 	EXP 	window1: blendMode = 'avg'
3.4980 	EXP 	window1: blendMode = 'avg'
3.5149 	EXP 	window1: blendMode = 'avg'
3.5311 	EXP 	window1: blendMode = 'avg'
3.5487 	EXP 	window1: blendMode = 'avg'
3.5643 	EXP 	window1: blendMode = 'avg'
3.5820 	EXP 	window1: blendMode = 'avg'
3.5996 	EXP 	window1: blendMode = 'avg'
3.6150 	EXP 	window1: blendMode = 'avg'
3.6319 	EXP 	window1: blendMode = 'avg'
3.6479 	EXP 	window1: blendMode = 'avg'
3.6648 	EXP 	window1: blendMode = 'avg'
3.6818 	EXP 	window1: blendMode = 'avg'
3.6980 	EXP 	window1: blendMode = 'avg'
3.7149 	EXP 	window1: blendMode = 'avg'
3.7318 	EXP 	window1: blendMode = 'avg'
3.7476 	EXP 	window1: blendMode = 'avg'
3.7647 	EXP 	window1: blendMode = 'avg'
3.7823 	EXP 	window1: blendMode = 'avg'
3.7980 	EXP 	window1: blendMode = 'avg'
3.8146 	EXP 	window1: blendMode = 'avg'
3.8308 	EXP 	window1: blendMode = 'avg'
3.8489 	EXP 	window1: blendMode = 'avg'
3.8651 	EXP 	window1: blendMode = 'avg'
3.8816 	EXP 	window1: blendMode = 'avg'
3.8979 	EXP 	window1: blendMode = 'avg'
3.9153 	EXP 	window1: blendMode = 'avg'
3.9318 	EXP 	window1: blendMode = 'avg'
3.9488 	EXP 	window1: blendMode = 'avg'
3.9652 	EXP 	window1: blendMode = 'avg'
