time stamp,marker
3205873.081315644,[49]
3205873.582372271,[50]
3205873.5823156442,[50]
3205874.083235631,[51]
3205874.0823156442,[51]
3205874.583220498,[52]
3205874.5823156442,[52]
3205875.084003266,[53]
3205875.083315644,[53]
3205875.584370308,[54]
3205875.584315644,[54]
3205876.084678274,[55]
3205876.084315644,[55]
3205876.585396859,[56]
3205876.585315644,[56]
3205877.085939309,[57]
3205877.085315644,[57]
3205877.586103594,[58]
3205877.585315644,[58]
3205878.086439639,[59]
3205878.086315644,[59]
3205878.587056117,[60]
3205878.586315644,[60]
3205879.087373199,[61]
3205879.087315644,[61]
3205879.587650167,[62]
3205879.587315644,[62]
3205880.087989494,[63]
3205880.087315644,[63]
3205880.588259169,[64]
3205880.587315644,[64]
3205881.088746553,[65]
3205881.088315644,[65]
3205881.589161732,[66]
3205881.588315644,[66]
3205882.089542267,[67]
3205882.089315644,[67]
3205882.590350198,[68]
3205882.590315644,[68]
3205883.091309103,[69]
3205883.090315644,[69]
3205883.591989763,[70]
3205883.591315644,[70]
3205884.092235734,[71]
3205884.091315644,[71]
3205884.592355529,[72]
3205884.592315644,[72]
3205885.092971642,[73]
3205885.092315644,[73]
3205885.59311514,[74]
3205885.592315644,[74]
3205886.093310422,[75]
3205886.092315644,[75]
3205886.593961544,[76]
3205886.593315644,[76]
3205887.094083162,[77]
3205887.093315644,[77]
3205887.594237236,[78]
3205887.593315644,[78]
3205888.094596255,[79]
3205888.094315644,[79]
3205888.594896562,[80]
3205888.594315644,[80]
3205889.095188118,[81]
3205889.094315644,[81]
3205889.595609861,[82]
3205889.595315644,[82]
3205890.09635288,[83]
3205890.096315644,[83]
3205890.596770247,[84]
3205890.596315644,[84]
3205891.097305767,[85]
3205891.096315644,[85]
3205891.597425927,[86]
3205891.597315644,[86]
3205892.098364045,[87]
3205892.098315644,[87]
3205892.599235793,[88]
3205892.598315644,[88]
3205893.099888009,[89]
3205893.0993156442,[89]
3205893.60080133,[90]
3205893.600315644,[90]
3205894.100681535,[91]
3205894.100315644,[91]
3205894.601037637,[92]
3205894.600315644,[92]
3205895.101143574,[93]
3205895.100315644,[93]
3205895.601637523,[94]
3205895.601315644,[94]
3205896.102320735,[95]
3205896.101315644,[95]
3205896.602780769,[96]
3205896.602315644,[96]
3205897.103389224,[97]
3205897.103315644,[97]
3205897.603786169,[98]
3205897.603315644,[98]
3205898.103913622,[99]
3205898.103315644,[99]
3205898.604325884,[100]
3205898.604315644,[100]
3205899.105012379,[101]
3205899.104315644,[101]
3205899.605155877,[102]
3205899.604315644,[102]
3205900.105357358,[103]
3205900.105315644,[103]
3205900.605815204,[104]
3205900.605315644,[104]
3205901.106586303,[105]
3205901.106315644,[105]
3205901.60660253,[106]
3205901.606315644,[106]
3205902.10732841,[107]
3205902.106315644,[107]
3205902.607804854,[108]
3205902.607315644,[108]
3205903.108331622,[109]
3205903.108315644,[109]
3205903.609024681,[110]
3205903.608315644,[110]
3205904.109255336,[111]
3205904.108315644,[111]
3205904.609841182,[112]
3205904.609315644,[112]
3205905.110689955,[113]
3205905.110315644,[113]
3205905.611156188,[114]
3205905.610315644,[114]
3205906.111443368,[115]
3205906.111315644,[115]
3205906.61192127,[116]
3205906.611315644,[116]
3205907.112247469,[117]
3205907.111315644,[117]
3205907.612630557,[118]
3205907.612315644,[118]
3205908.113272926,[119]
3205908.112315644,[119]
3205908.61370488,[120]
3205908.613315644,[120]
3205909.113892869,[121]
3205909.113315644,[121]
3205909.614739455,[122]
3205909.614315644,[122]
3205910.115202405,[123]
3205910.114315644,[123]
3205910.615754701,[124]
3205910.615315644,[124]
3205911.116501731,[125]
3205911.1163156442,[125]
3205911.616738221,[126]
3205911.6163156442,[126]
3205912.116808785,[127]
3205912.1163156442,[127]
3205912.616837777,[128]
3205912.6163156442,[128]
3205913.117642425,[129]
3205913.117315644,[129]
3205913.618645091,[130]
