P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp

-8881.7861328125,-10933.7939453125,-12349.6591796875,-11668.1201171875,-19850.88671875,-19888.115234375,-19682.83203125,-9180.11328125,-8558.20703125,-8568.654296875,-10724.5458984375,-8905.388671875,-19890.7109375,-19946.20703125,-19563.900390625,-19822.810546875,-7873.27001953125,-13586.822265625,-14728.2490234375,-10064.669921875,-9772.7900390625,-9609.21875,-13034.0732421875,-9833.6142578125,-19832.55078125,-19875.046875,-19666.220703125,-19277.248046875,-11973.18359375,-7803.7080078125,-12216.1396484375,-11092.8251953125,4767.633466365
-8569.525390625,-10573.46875,-12112.7548828125,-11299.8408203125,-19742.73046875,-19696.7734375,-19020.2578125,-8850.7060546875,-8178.51220703125,-8061.9638671875,-10379.5078125,-8565.6630859375,-19782.80859375,-19773.375,-18947.904296875,-19380.029296875,-7767.1318359375,-13362.892578125,-14822.630859375,-9701.921875,-9405.7021484375,-9269.296875,-12689.935546875,-9549.177734375,-19722.0625,-19331.73828125,-19074.232421875,-18666.1953125,-11731.341796875,-7651.740234375,-11984.6318359375,-10738.0654296875,4767.635466365
-9265.654296875,-11280.1708984375,-12829.21875,-12007.140625,-19945.9921875,-19927.849609375,-19644.646484375,-9566.404296875,-8861.49609375,-8718.4853515625,-11088.9482421875,-9275.0673828125,-19986.017578125,-20018.23046875,-19620.814453125,-19865.783203125,-8517.353515625,-14069.9033203125,-15572.921875,-10405.1533203125,-10099.755859375,-9963.9599609375,-13396.8251953125,-10264.31640625,-19927.2890625,-19835.859375,-19657.005859375,-19440.26953125,-12463.623046875,-8392.326171875,-12719.337890625,-11444.5126953125,4767.637466364999
-10032.8349609375,-12093.9677734375,-13527.58203125,-12829.537109375,-20183.228515625,-20225.44921875,-20271.091796875,-10361.697265625,-9685.8974609375,-9645.2431640625,-11888.59765625,-10064.2890625,-20222.552734375,-20282.0234375,-20216.89453125,-20265.140625,-9108.5107421875,-14750.2509765625,-15971.376953125,-11220.771484375,-10919.75,-10751.123046875,-14197.63671875,-11006.75,-20165.447265625,-20341.001953125,-20214.099609375,-20239.283203125,-13177.490234375,-9020.9638671875,-13424.955078125,-12254.8447265625,4767.639466365
-9860.2431640625,-11943.1123046875,-13314.400390625,-12682.40625,-20141.12109375,-20163.349609375,-20039.390625,-10193.8115234375,-9554.439453125,-9586.78125,-11728.607421875,-9897.369140625,-20180.732421875,-20225.875,-19969.822265625,-20118.44140625,-8811.83984375,-14532.2451171875,-15564.099609375,-11071.2080078125,-10776.97265625,-10594.314453125,-14039.32421875,-10812.9111328125,-20122.392578125,-20169.38671875,-20005.498046875,-19929.3515625,-12957.4599609375,-8750.357421875,-13196.625,-12101.111328125,4767.641466364999
-9200.611328125,-11269.4384765625,-12674.2412109375,-12005.5966796875,-19946.716796875,-19947.884765625,-19639.61328125,-9517.0771484375,-8890.4453125,-8911.919921875,-11058.05859375,-9228.4541015625,-19986.29296875,-20017.595703125,-19563.388671875,-19827.69921875,-8165.18017578125,-13893.3486328125,-14956.0322265625,-10396.791015625,-10106.2158203125,-9932.4658203125,-13367.8359375,-10153.2548828125,-19927.41015625,-19841.662109375,-19640.06640625,-19366.111328125,-12294.7333984375,-8105.05322265625,-12532.3994140625,-11427.6845703125,4767.643466365
-8591.2275390625,-10623.375,-12132.451171875,-11351.6650390625,-19758.662109375,-19747.158203125,-19348.765625,-8888.173828125,-8234.138671875,-8171.6279296875,-10424.3603515625,-8601.23046875,-19798.22265625,-19821.677734375,-19275.802734375,-19593.06640625,-7699.80322265625,-13353.6572265625,-14646.2861328125,-9747.8818359375,-9454.9150390625,-9306.9697265625,-12730.8134765625,-9566.9462890625,-19739.5625,-19584.349609375,-19367.6640625,-19010.4609375,-11733.51171875,-7610.94384765625,-11973.76171875,-10783.2255859375,4767.645466365
-9019.265625,-11062.1357421875,-12579.408203125,-11792.0673828125,-19884.669921875,-19873.498046875,-19511.826171875,-9336.3564453125,-8654.16015625,-8584.9697265625,-10865.505859375,-9042.0185546875,-19924.654296875,-19948.892578125,-19450.9921875,-19739.10546875,-8163.82177734375,-13794.7001953125,-15116.2353515625,-10185.529296875,-9883.03515625,-9741.201171875,-13173.490234375,-10012.84375,-19865.95703125,-19730.701171875,-19527.15625,-19231.625,-12189.66796875,-8071.548828125,-12429.6123046875,-11222.7451171875,4767.647466365
-9607.7529296875,-11686.4814453125,-13096.6513671875,-12423.4072265625,-20066.427734375,-20067.53125,-19855.04296875,-9946.310546875,-9288.73046875,-9309.4697265625,-11477.55859375,-9645.140625,-20106.44140625,-20140.546875,-19810.13671875,-19999.08984375,-8602.353515625,-14308.1337890625,-15393.015625,-10812.7998046875,-10513.896484375,-10346.638671875,-13784.78515625,-10577.61328125,-20047.40234375,-20013.14453125,-19844.416015625,-19731.955078125,-12726.0654296875,-8539.9169921875,-12962.2607421875,-11844.025390625,4767.649466365
-9471.9521484375,-11556.3935546875,-12918.1181640625,-12294.2880859375,-20030.353515625,-20052.044921875,-20031.8984375,-9806.8828125,-9174.7666015625,-9238.724609375,-11342.0908203125,-9506.365234375,-20070.365234375,-20118.7734375,-19992.904296875,-20067.787109375,-8389.662109375,-14139.6123046875,-15131.416015625,-10686.93359375,-10392.1162109375,-10217.1982421875,-13646.9755859375,-10422.20703125,-20013.162109375,-20117.888671875,-19986.12109375,-20003.294921875,-12551.2041015625,-8339.95703125,-12787.6689453125,-11713.2607421875,4767.651466365
-8871.3134765625,-10921.8994140625,-12338.521484375,-11655.7177734375,-19847.9375,-19884.025390625,-19671.23828125,-9179.2314453125,-8546.162109375,-8555.7421875,-10714.7431640625,-8882.75,-19887.60546875,-19942.123046875,-19551.5859375,-19815.697265625,-7865.40478515625,-13576.875,-14721.1689453125,-10054.03515625,-9762.7353515625,-9599.9033203125,-13021.9296875,-9823.1318359375,-19829.12109375,-19867.615234375,-19656.5703125,-19260.91796875,-11963.19921875,-7795.14306640625,-12204.7822265625,-11082.3984375,4767.653466365
-8567.884765625,-10571.814453125,-12111.8408203125,-11298.701171875,-19742.1953125,-19694.333984375,-19017.47265625,-8854.6181640625,-8177.39501953125,-8059.04296875,-10379.5263671875,-8558.9404296875,-19782.50390625,-19772.248046875,-18944.90625,-19377.904296875,-7767.17822265625,-13362.19921875,-14824.5439453125,-9701.1826171875,-9404.1025390625,-9270.203125,-12687.91015625,-9549.998046875,-19721.767578125,-19327.669921875,-19071.0859375,-18664.314453125,-11730.0244140625,-7651.1318359375,-11984.2919921875,-10737.0400390625,4767.6554663649995
-9273.6435546875,-11287.7275390625,-12836.8369140625,-12015.0029296875,-19947.95703125,-19931.185546875,-19654.064453125,-9577.4912109375,-8870.0693359375,-8728.1943359375,-11097.029296875,-9278.978515625,-19988.220703125,-20021.810546875,-19628.345703125,-19871.783203125,-8523.732421875,-14077.447265625,-15578.71484375,-10413.9072265625,-10106.904296875,-9973.830078125,-13404.619140625,-10272.3203125,-19929.259765625,-19843.099609375,-19664.314453125,-19449.615234375,-12469.603515625,-8399.1572265625,-12727.63671875,-11452.8232421875,4767.657466365
-10030.4677734375,-12091.9296875,-13523.6689453125,-12828.47265625,-20182.630859375,-20225.091796875,-20270.90234375,-10362.44921875,-9685.751953125,-9644.861328125,-11887.3466796875,-10059.5478515625,-20222.578125,-20282.17578125,-20215.705078125,-20263.59375,-9106.0,-14747.7412109375,-15965.505859375,-11218.8642578125,-10917.49609375,-10749.669921875,-14196.150390625,-11005.08203125,-20165.048828125,-20340.46484375,-20212.474609375,-20238.251953125,-13175.4541015625,-9018.56640625,-13422.4814453125,-12252.931640625,4767.659466364999
-9851.2265625,-11932.734375,-13303.3271484375,-12673.8427734375,-20137.970703125,-20160.005859375,-20035.19921875,-10186.748046875,-9544.7109375,-9577.873046875,-11719.2275390625,-9884.392578125,-20178.15625,-20222.58203125,-19965.119140625,-20114.337890625,-8801.7783203125,-14521.8681640625,-15553.2353515625,-11061.7158203125,-10767.4453125,-10584.640625,-14029.5078125,-10801.91796875,-20119.814453125,-20165.36328125,-20000.88671875,-19922.6796875,-12947.9541015625,-8740.7529296875,-13186.6669921875,-12090.2841796875,4767.661466365
-9192.4921875,-11259.939453125,-12666.3369140625,-11997.1982421875,-19943.55078125,-19945.45703125,-19635.4296875,-9512.7451171875,-8880.09375,-8903.2099609375,-11048.537109375,-9214.6572265625,-19983.89453125,-20015.171875,-19558.919921875,-19824.87109375,-8157.68408203125,-13884.400390625,-14949.0302734375,-10387.4716796875,-10098.20703125,-9924.4248046875,-13357.955078125,-10143.29296875,-19925.0,-19838.748046875,-19636.7578125,-19360.765625,-12286.9384765625,-8096.10498046875,-12524.896484375,-11417.6494140625,4767.663466364999
