Marker,Timestamp

1.0,4786.39912486
1.0,4786.415996399
1.0,4786.432512384
1.0,4786.449280356
1.0,4786.465634426
1.0,4786.482532951
1.0,4786.499138645
1.0,4786.515835142
1.0,4786.532247194
1.0,4786.549610311
1.0,4786.566013247
1.0,4786.582679112
1.0,4786.599602799
1.0,4786.615429554
1.0,4786.632745992
1.0,4786.64898665
1.0,4786.665911431
1.0,4786.682415746
1.0,4786.698975126
1.0,4786.715553834
1.0,4786.732660951
1.0,4786.74883852
1.0,4786.765536475
1.0,4786.782340915
1.0,4786.799057104
1.0,4786.815366684
1.0,4786.832143044
1.0,4786.848815108
1.0,4786.865676072
1.0,4786.882153766
1.0,4786.89851987
1.0,4786.915390315
1.0,4786.932568543
1.0,4786.948929907
1.0,4786.965461207
1.0,4786.982065077
1.0,4786.99884399
1.0,4787.015487609
1.0,4787.031747959
1.0,4787.053781427
1.0,4787.065256553
1.0,4787.082339602
1.0,4787.098618185
1.0,4787.115440858
1.0,4787.131905424
1.0,4787.148628177
1.0,4787.165332332
1.0,4787.181878949
1.0,4787.198601337
1.0,4787.215225265
1.0,4787.232142752
1.0,4787.248437381
1.0,4787.265070425
1.0,4787.281657156
1.0,4787.299068044
1.0,4787.315412998
1.0,4787.331602236
1.0,4787.348461012
1.0,4787.365377406
1.0,4787.381777424
1.0,4787.398570559
1.0,4787.414900925
1.0,4787.431575177
1.0,4787.448740642
1.0,4787.465139202
1.0,4787.481698218
1.0,4787.498384504
1.0,4787.514902311
1.0,4787.532162955
1.0,4787.548240239
1.0,4787.565240872
1.0,4787.581450533
1.0,4787.598037992
1.0,4787.614925577
1.0,4787.631339453
1.0,4787.647931654
1.0,4787.665171147
1.0,4787.681443895
1.0,4787.698056153
1.0,4787.714687009
1.0,4787.731406845
1.0,4787.748708332
1.0,4787.764851987
1.0,4787.781387663
1.0,4787.797862439
1.0,4787.814767893
1.0,4787.831627398
1.0,4787.847915827
1.0,4787.864510216
1.0,4787.881712513
1.0,4787.897984896
1.0,4787.914625234
1.0,4787.931300215
1.0,4787.947973373
1.0,4787.964708525
1.0,4787.981205546
1.0,4787.997794829
1.0,4788.014849798
1.0,4788.031319105
1.0,4788.053209622
1.0,4788.064498765
1.0,4788.08128716
1.0,4788.097660922
1.0,4788.114500005
1.0,4788.131218018
1.0,4788.147685865
1.0,4788.164836014
1.0,4788.180858962
1.0,4788.197966809
1.0,4788.214895601
1.0,4788.230955017
1.0,4788.24736087
1.0,4788.264445013
1.0,4788.280878581
1.0,4788.297695784
1.0,4788.314108931
1.0,4788.330898419
1.0,4788.347561731
1.0,4788.365523274
1.0,4788.380789528
1.0,4788.397400327
1.0,4788.414169759
1.0,4788.431024158
1.0,4788.447633499
1.0,4788.464049563
1.0,4788.480735119
1.0,4788.497215731
1.0,4788.5140209
1.0,4788.530669624
1.0,4788.547290634
1.0,4788.564251518
1.0,4788.580756927
1.0,4788.597362985
1.0,4788.613943516
1.0,4788.63049305
1.0,4788.647433513
1.0,4788.663721577
1.0,4788.680518723
1.0,4788.697421624
1.0,4788.71391427
1.0,4788.730465627
1.0,4788.747105235
1.0,4788.763947601
1.0,4788.780529226
1.0,4788.797172845
1.0,4788.81364981
1.0,4788.830671229
1.0,4788.847110267
1.0,4788.863775767
1.0,4788.881185927
1.0,4788.897255917
1.0,4788.913547264
1.0,4788.93059421
1.0,4788.947090867
1.0,4788.963593358
1.0,4788.980587427
1.0,4788.996868198
1.0,4789.013915145
1.0,4789.030220713
1.0,4789.050591278
1.0,4789.063673149
1.0,4789.080268996
1.0,4789.096839681
1.0,4789.113610571
1.0,4789.130085712
1.0,4789.147013411
1.0,4789.163560027
1.0,4789.180293721
1.0,4789.196593819
1.0,4789.213423421
1.0,4789.230182642
1.0,4789.246715401
1.0,4789.263725515
1.0,4789.280170389
1.0,4789.296715547
1.0,4789.313521445
1.0,4789.329933498
1.0,4789.346714599
1.0,4789.363391403
1.0,4789.37994349
1.0,4789.396654574
1.0,4789.413039641
1.0,4789.430279134
1.0,4789.44686477
1.0,4789.463334806
1.0,4789.479959098
1.0,4789.496511549
1.0,4789.513189448
1.0,4789.530102195
1.0,4789.546505131
1.0,4789.563531291
1.0,4789.579728552
1.0,4789.596646405
1.0,4789.613245534
1.0,4789.629553291
1.0,4789.64642009
1.0,4789.663004632
1.0,4789.679735408
1.0,4789.696472748
1.0,4789.712873496
1.0,4789.729723885
1.0,4789.746309521
1.0,4789.763035192
1.0,4789.779749558
1.0,4789.796305291
1.0,4789.812901503
1.0,4789.82985327
1.0,4789.846369254
1.0,4789.862828715
1.0,4789.879529223
1.0,4789.896212956
1.0,4789.913048028
1.0,4789.929547238
1.0,4789.946408201
1.0,4789.962904129
1.0,4789.97926768
1.0,4789.996104576
1.0,4790.012788674
1.0,4790.029450891
1.0,4790.050331632
1.0,4790.062815441
1.0,4790.079329966
1.0,4790.096090281
1.0,4790.112590219
1.0,4790.129428573
1.0,4790.146154609
1.0,4790.1627851
1.0,4790.179381677
1.0,4790.196092031
1.0,4790.21281916
1.0,4790.229159373
1.0,4790.245695049
1.0,4790.262335387
1.0,4790.279216407
1.0,4790.296075912
1.0,4790.312202792
1.0,4790.329410923
1.0,4790.345883512
1.0,4790.362329114
