P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp

-31522.234375,14530.4560546875,22153.681640625,2500.175048828125,25325.337890625,-6442.69091796875,-59400.26953125,-56484.4453125,22152.904296875,-3035.248046875,7771.65283203125,18243.408203125,-25196.75390625,44753.0234375,-330576.0625,19041.205078125,10108.3818359375,-34534.82421875,965.9849853515625,-5511.74609375,37266.44921875,16273.80078125,25967.59375,-23344.314453125,-1924.89404296875,35153.984375,-372989.9375,15462.859375,36242.03125,-37934.546875,14915.779296875,-5349.6728515625,11059.137466365
-31522.96484375,14527.896484375,22167.384765625,2497.27392578125,25324.796875,-6439.97802734375,-59401.05078125,-56485.921875,22157.0546875,-3016.486083984375,7770.8017578125,18269.09375,-25166.435546875,44780.2734375,-330578.8125,19047.515625,10111.8662109375,-34529.6953125,999.3319702148438,-5514.39013671875,37275.8203125,16294.77734375,25976.224609375,-23311.173828125,-1923.1529541015625,35158.21484375,-372992.03125,15470.6494140625,36263.4609375,-37932.15625,14939.337890625,-5345.455078125,11059.139466364999
-31512.126953125,14534.81640625,22209.625,2496.4130859375,25342.30078125,-6414.11181640625,-59390.15234375,-56470.8671875,22175.50390625,-2963.363037109375,7778.35009765625,18292.9921875,-25206.0234375,44766.2421875,-330561.71875,19055.359375,10009.193359375,-34519.79296875,992.5430297851562,-5501.494140625,37278.9140625,16299.037109375,25917.517578125,-23298.8359375,-1895.41796875,35170.43359375,-372971.71875,15482.1171875,36267.11328125,-37897.94140625,14923.8203125,-5310.2578125,11059.141466365
-31510.45703125,14535.591796875,22221.046875,2495.382080078125,25348.673828125,-6406.07421875,-59386.97265625,-56466.41796875,22178.228515625,-2947.1298828125,7779.47607421875,18285.09375,-25255.08984375,44735.4453125,-330557.0,19049.736328125,9949.365234375,-34523.69140625,957.8690185546875,-5500.5341796875,37268.51171875,16284.8623046875,25876.25390625,-23318.474609375,-1885.0469970703125,35169.01171875,-372966.84375,15479.2783203125,36248.8046875,-37885.54296875,14893.134765625,-5297.27099609375,11059.143466365
-31507.177734375,14540.8916015625,22206.478515625,2503.31298828125,25349.392578125,-6408.39794921875,-59382.22265625,-56464.1953125,22174.01171875,-2964.405029296875,7784.52685546875,18268.1796875,-25267.205078125,44721.43359375,-330559.28125,19045.814453125,9962.3134765625,-34527.2421875,932.7839965820312,-5503.82177734375,37265.87890625,16275.4638671875,25884.6640625,-23339.033203125,-1887.22900390625,35169.22265625,-372969.21875,15476.38671875,36235.9765625,-37891.12890625,14879.28125,-5301.2587890625,11059.145466365
-31528.3125,14524.9931640625,22161.8359375,2490.027099609375,25323.80859375,-6440.623046875,-59402.52734375,-56487.09375,22149.259765625,-3014.06103515625,7766.92578125,18238.287109375,-25252.392578125,44719.20703125,-330590.25,19023.001953125,10015.3876953125,-34548.2734375,922.3250122070312,-5534.01611328125,37252.28125,16262.6953125,25914.529296875,-23358.626953125,-1919.8990478515625,35146.68359375,-373002.59375,15456.591796875,36221.16015625,-37929.2734375,14875.84375,-5339.33984375,11059.147466365
-31532.392578125,14518.2099609375,22172.451171875,2482.132080078125,25322.5703125,-6439.546875,-59406.5625,-56489.03515625,22151.689453125,-2996.593017578125,7762.03515625,18252.546875,-25241.798828125,44729.9296875,-330594.78125,19022.474609375,10008.5771484375,-34550.28125,939.6719970703125,-5540.47705078125,37249.32421875,16269.76171875,25911.126953125,-23340.98828125,-1918.115966796875,35143.37109375,-373006.03125,15456.3232421875,36229.0703125,-37926.0,14883.5732421875,-5335.4501953125,11059.149466365
-31505.88671875,14542.2880859375,22225.01953125,2501.802978515625,25356.025390625,-6397.99609375,-59377.73046875,-56458.4375,22183.16796875,-2935.02294921875,7786.3349609375,18285.587890625,-25264.255859375,44730.953125,-330560.25,19043.18359375,9939.966796875,-34526.4609375,946.97802734375,-5511.47607421875,37264.2890625,16286.4404296875,25877.181640625,-23320.951171875,-1874.7889404296875,35167.6640625,-372969.75,15480.1025390625,36242.92578125,-37875.5078125,14883.2099609375,-5286.1572265625,11059.151466365
-31505.419921875,14543.2861328125,22219.67578125,2501.73388671875,25356.841796875,-6397.8818359375,-59376.01171875,-56455.953125,22179.443359375,-2940.31005859375,7787.72900390625,18268.6875,-25295.57421875,44707.28515625,-330560.625,19035.0859375,9920.068359375,-34531.6328125,917.3350219726562,-5513.8837890625,37256.57421875,16272.6142578125,25861.765625,-23345.232421875,-1872.781982421875,35164.34375,-372971.0625,15473.9384765625,36224.63671875,-37873.55078125,14861.1123046875,-5283.14501953125,11059.153466365
-31515.39453125,14537.099609375,22182.703125,2498.875,25342.1796875,-6420.18896484375,-59387.07421875,-56468.43359375,22161.86328125,-2984.714111328125,7780.826171875,18241.78125,-25278.845703125,44704.26953125,-330581.0,19021.716796875,9980.568359375,-34546.390625,908.97998046875,-5532.89990234375,37250.75390625,16262.0126953125,25894.59765625,-23364.17578125,-1895.115966796875,35152.12890625,-372993.78125,15460.4990234375,36214.953125,-37901.60546875,14860.0390625,-5310.92919921875,11059.155466365
