Marker,Timestamp

1.0,11059.187509481
1.0,11059.204345282
1.0,11059.220826258
1.0,11059.237357923
1.0,11059.254199195
1.0,11059.270696946
1.0,11059.287373385
1.0,11059.303781427
1.0,11059.320783883
1.0,11059.337206512
1.0,11059.354092273
1.0,11059.370820132
1.0,11059.387313871
1.0,11059.403950197
1.0,11059.420741508
1.0,11059.437748706
1.0,11059.453994468
1.0,11059.470353644
1.0,11059.486975383
1.0,11059.503841452
1.0,11059.520555453
1.0,11059.537522536
1.0,11059.553769028
1.0,11059.57087104
1.0,11059.587224381
1.0,11059.604530244
1.0,11059.620495574
1.0,11059.637340492
1.0,11059.653634027
1.0,11059.679855385
1.0,11059.686857813
1.0,11059.703504714
1.0,11059.72040251
1.0,11059.737219713
1.0,11059.753807537
1.0,11059.770035796
1.0,11059.787405477
1.0,11059.803628265
1.0,11059.820903131
1.0,11059.836996825
1.0,11059.853560217
1.0,11059.870825966
1.0,11059.887662862
1.0,11059.903423976
1.0,11059.920038057
1.0,11059.936769197
1.0,11059.953660793
1.0,11059.970297484
1.0,11059.98728353
1.0,11060.003445418
1.0,11060.020151032
1.0,11060.036897489
1.0,11060.053502453
1.0,11060.070090278
1.0,11060.08686919
1.0,11060.103431853
1.0,11060.11999488
1.0,11060.136652356
1.0,11060.153366358
1.0,11060.170035869
1.0,11060.186822075
1.0,11060.203129467
1.0,11060.220060447
1.0,11060.236415612
1.0,11060.253568677
