P7,P4,Cz,Pz,P3,P8,O1,O2,T8,F8,C4,F4,Fp2,Fz,C3,F3,Fp1,T7,F7,Oz,PO3,AF3,FC5,FC1,CP5,CP1,CP2,CP6,AF4,FC2,FC6,PO4,Timestamp

-31080.21875,14206.9208984375,23052.20703125,1604.9110107421875,26921.525390625,-6426.61376953125,-58438.6640625,-52918.63671875,20509.013671875,-483.69500732421875,10536.267578125,17276.154296875,-23572.232421875,44777.890625,-400000.0625,20612.90625,10885.595703125,-30878.07421875,5395.16015625,-16490.16796875,36862.75,16015.6533203125,27398.822265625,-23179.078125,-4095.35595703125,35411.2890625,-400000.0625,11417.7880859375,37235.4921875,-25496.90234375,15560.8486328125,2415.993896484375,11180.075466365
-31067.181640625,14212.0634765625,23105.912109375,1604.3919677734375,26940.60546875,-6396.9638671875,-58427.94921875,-52902.4609375,20533.884765625,-419.0220031738281,10543.8798828125,17322.150390625,-23573.77734375,44790.3515625,-400000.0625,20630.49609375,10814.3232421875,-30861.2578125,5426.16796875,-16473.05078125,36875.24609375,16036.9296875,27359.18359375,-23141.8671875,-4066.33203125,35426.82421875,-400000.0625,11437.7646484375,37258.515625,-25458.337890625,15571.91015625,2454.217041015625,11180.077466364999
-31054.59375,14219.173828125,23145.25390625,1606.0009765625,26958.6171875,-6370.4638671875,-58416.76953125,-52885.484375,20551.0703125,-371.57598876953125,10552.3203125,17335.80859375,-23621.10546875,44765.19921875,-400000.0625,20636.0234375,10724.7822265625,-30853.353515625,5409.5068359375,-16456.59765625,36881.32421875,16035.4521484375,27301.525390625,-23148.40625,-4037.955078125,35435.32421875,-400000.0625,11447.689453125,37252.46875,-25423.5546875,15549.9716796875,2489.787109375,11180.079466365
-31043.435546875,14232.0224609375,23157.9140625,1617.10498046875,26973.53125,-6353.68310546875,-58402.9375,-52870.08203125,20561.916015625,-356.906005859375,10565.28515625,17331.2265625,-23650.5859375,44745.34375,-400000.0625,20639.51171875,10706.12109375,-30846.046875,5388.77685546875,-16442.90234375,36887.92578125,16029.2197265625,27288.013671875,-23165.974609375,-4020.3701171875,35444.2578125,-400000.0625,11454.6884765625,37243.8671875,-25406.2265625,15531.783203125,2507.801025390625,11180.081466365
-31052.646484375,14228.2431640625,23120.767578125,1617.0670166015625,26960.427734375,-6373.25390625,-58410.74609375,-52881.828125,20546.287109375,-399.07598876953125,10558.7880859375,17302.43359375,-23652.310546875,44735.54296875,-400000.0625,20626.99609375,10753.2119140625,-30859.462890625,5368.3349609375,-16456.685546875,36880.453125,16013.833984375,27313.4453125,-23193.32421875,-4041.68994140625,35433.6171875,-400000.0625,11441.9560546875,37228.99609375,-25434.083984375,15522.0947265625,2481.716064453125,11180.083466365
-31062.03515625,14219.95703125,23107.330078125,1610.9539794921875,26949.76953125,-6383.66796875,-58419.37109375,-52892.07421875,20536.7421875,-413.6470031738281,10551.8896484375,17300.7109375,-23626.626953125,44748.77734375,-400000.0625,20623.21875,10797.6748046875,-30865.5078125,5381.9677734375,-16466.56640625,36875.625,16015.2421875,27339.59375,-23186.78515625,-4055.220947265625,35426.34765625,-400000.0625,11436.7353515625,37232.57421875,-25448.810546875,15534.54296875,2467.196044921875,11180.085466364999
-31048.736328125,14227.94140625,23148.51171875,1614.240966796875,26968.23828125,-6358.03515625,-58407.30078125,-52875.77734375,20555.580078125,-365.7380065917969,10561.947265625,17329.6484375,-23626.654296875,44754.1015625,-400000.0625,20636.470703125,10754.1474609375,-30852.181640625,5399.94287109375,-16450.068359375,36885.34375,16027.40625,27315.048828125,-23166.859375,-4027.533935546875,35439.34765625,-400000.0625,11451.1162109375,37244.546875,-25414.240234375,15541.19921875,2500.68408203125,11180.087466365
-31045.21875,14230.2734375,23155.486328125,1613.843994140625,26973.484375,-6352.6748046875,-58404.48046875,-52870.8046875,20556.986328125,-357.54400634765625,10563.3095703125,17321.92578125,-23656.564453125,44734.0078125,-400000.0625,20632.919921875,10715.9306640625,-30854.19921875,5380.42822265625,-16446.171875,36883.46875,16017.2431640625,27289.359375,-23181.4296875,-4018.2080078125,35438.2890625,-400000.0625,11450.169921875,37232.375,-25404.365234375,15525.04296875,2511.4169921875,11180.089466365
-31055.5078125,14222.7197265625,23119.626953125,1610.0489501953125,26957.748046875,-6374.89892578125,-58414.11328125,-52884.15234375,20539.64453125,-398.7950134277344,10554.1064453125,17295.08203125,-23655.216796875,44727.78125,-400000.0625,20620.884765625,10758.3046875,-30867.341796875,5363.865234375,-16462.203125,36874.80078125,16004.490234375,27313.458984375,-23199.04296875,-4040.73291015625,35426.30859375,-400000.0625,11435.0546875,37219.4375,-25432.283203125,15519.4951171875,2484.73095703125,11180.091466365
