Marker,Timestamp

1.0,11527.062168148
1.0,11527.078881785
1.0,11527.095371148
1.0,11527.112173035
1.0,11527.128793315
1.0,11527.145587544
1.0,11527.162038981
1.0,11527.178856549
1.0,11527.195594254
1.0,11527.211928632
1.0,11527.22890155
1.0,11527.24580518
1.0,11527.262114396
1.0,11527.278979371
1.0,11527.295457429
1.0,11527.311981801
1.0,11527.329373362
1.0,11527.345377712
1.0,11527.362216066
1.0,11527.3792714
1.0,11527.39525861
1.0,11527.412144372
1.0,11527.429826941
1.0,11527.445512932
1.0,11527.462247355
1.0,11527.479087532
1.0,11527.495507973
1.0,11527.512008276
1.0,11527.52870842
1.0,11527.545331982
1.0,11527.561930018
1.0,11527.578525865
1.0,11527.59507394
1.0,11527.611770437
1.0,11527.629517189
1.0,11527.64547012
1.0,11527.661826378
1.0,11527.678843421
1.0,11527.695875781
1.0,11527.711550467
1.0,11527.72883992
1.0,11527.745458377
1.0,11527.76193206
1.0,11527.778765673
1.0,11527.795458888
1.0,11527.811362224
1.0,11527.828222458
1.0,11527.845197199
1.0,11527.86157242
1.0,11527.878294809
1.0,11527.895169995
1.0,11527.911442378
1.0,11527.928090009
1.0,11527.945553411
1.0,11527.961410798
1.0,11527.978064993
1.0,11527.99486688
1.0,11528.011497736
1.0,11528.028239087
1.0,11528.052447822
1.0,11528.061104036
1.0,11528.077930356
1.0,11528.094836904
1.0,11528.111599771
1.0,11528.128005989
1.0,11528.144767033
1.0,11528.161460977
1.0,11528.177848597
1.0,11528.194640273
1.0,11528.211073841
1.0,11528.227992058
1.0,11528.244743985
1.0,11528.261175366
1.0,11528.277743133
1.0,11528.294499801
1.0,11528.311257563
1.0,11528.327561673
1.0,11528.344425919
1.0,11528.361432022
1.0,11528.377939619
1.0,11528.394874246
1.0,11528.411064578
1.0,11528.427739924
1.0,11528.444675646
1.0,11528.461405328
1.0,11528.477883022
1.0,11528.494714082
1.0,11528.510873418
1.0,11528.528006426
1.0,11528.544214263
1.0,11528.560940663
1.0,11528.577537604
1.0,11528.594746465
1.0,11528.611269378
1.0,11528.627715345
1.0,11528.644634292
1.0,11528.660756796
1.0,11528.677471526
1.0,11528.694798905
1.0,11528.710832428
1.0,11528.727654372
1.0,11528.744066425
1.0,11528.761270545
1.0,11528.777447385
1.0,11528.793899187
1.0,11528.811508822
1.0,11528.827483268
1.0,11528.844291355
1.0,11528.860947373
1.0,11528.877547596
1.0,11528.894173712
1.0,11528.910767006
1.0,11528.927240324
1.0,11528.944106393
1.0,11528.961188713
1.0,11528.97750668
1.0,11528.993900135
1.0,11529.010839868
1.0,11529.027015613
1.0,11529.051364018
1.0,11529.061500799
1.0,11529.077306767
1.0,11529.093776074
1.0,11529.11068955
1.0,11529.126944794
1.0,11529.144109894
1.0,11529.161431074
1.0,11529.17728919
1.0,11529.193742451
1.0,11529.21027521
1.0,11529.226933781
1.0,11529.243445754
1.0,11529.260711503
1.0,11529.276749038
1.0,11529.293469603
1.0,11529.310134009
1.0,11529.326779452
1.0,11529.343586444
1.0,11529.36017828
1.0,11529.376760999
1.0,11529.393364505
1.0,11529.410127372
1.0,11529.426624393
1.0,11529.443373768
1.0,11529.460013376
1.0,11529.476514044
1.0,11529.493300979
1.0,11529.510045248
1.0,11529.526747944
1.0,11529.544007494
1.0,11529.560185063
1.0,11529.576459635
1.0,11529.593409578
1.0,11529.610189585
1.0,11529.626819712
1.0,11529.643362682
1.0,11529.660415827
1.0,11529.677021886
1.0,11529.693518178
1.0,11529.709818641
1.0,11529.7264185
1.0,11529.744552897
1.0,11529.759982524
1.0,11529.777502815
1.0,11529.792898892
1.0,11529.810386362
1.0,11529.826430461
1.0,11529.843275744
1.0,11529.859813973
1.0,11529.876883894
1.0,11529.892882044
1.0,11529.910047509
1.0,11529.926378969
1.0,11529.943288434
1.0,11529.959956122
1.0,11529.976864493
1.0,11529.993096763
1.0,11530.009750593
1.0,11530.026257825
1.0,11530.050686458
1.0,11530.059627845
1.0,11530.076214575
1.0,11530.092993853
1.0,11530.109652788
1.0,11530.126152727
1.0,11530.142875115
1.0,11530.159891429
1.0,11530.176070457
1.0,11530.192977369
1.0,11530.209362801
1.0,11530.226066227
1.0,11530.242915886
1.0,11530.259355654
1.0,11530.276038293
1.0,11530.292809912
1.0,11530.310466225
1.0,11530.326091681
1.0,11530.342915448
1.0,11530.359224664
1.0,11530.376041137
1.0,11530.392783583
1.0,11530.409486279
1.0,11530.426003357
1.0,11530.442463547
1.0,11530.459327063
1.0,11530.475778136
1.0,11530.492623784
1.0,11530.509152531
1.0,11530.525570419
1.0,11530.542656385
1.0,11530.558999515
1.0,11530.575641676
1.0,11530.593454798
1.0,11530.60917288
1.0,11530.625535338
1.0,11530.64250315
1.0,11530.659053049
1.0,11530.675655461
1.0,11530.693360639
1.0,11530.708906597
1.0,11530.725565168
1.0,11530.742661345
1.0,11530.758928623
1.0,11530.775655023
1.0,11530.79358484
1.0,11530.809347412
1.0,11530.82604865
1.0,11530.84211864
1.0,11530.859027376
1.0,11530.875425571
1.0,11530.893699274
1.0,11530.908969904
1.0,11530.925460361
1.0,11530.942223958
1.0,11530.959321958
1.0,11530.97565196
1.0,11530.992301779
1.0,11531.009128098
1.0,11531.025237474
1.0,11531.049981182
1.0,11531.059064427
1.0,11531.075957117
1.0,11531.092274355
1.0,11531.108659422
1.0,11531.125212603
1.0,11531.141920405
1.0,11531.158828047
1.0,11531.175388885
1.0,11531.191845428
1.0,11531.209007611
1.0,11531.225223835
1.0,11531.241913768
1.0,11531.258670435
1.0,11531.275374955
1.0,11531.291825663
1.0,11531.309251868
1.0,11531.325646417
1.0,11531.341577832
1.0,11531.359073325
1.0,11531.375452192
1.0,11531.391805169
1.0,11531.409014394
1.0,11531.425070892
1.0,11531.441862568
1.0,11531.458489048
1.0,11531.474794981
1.0,11531.491822964
1.0,11531.508972748
1.0,11531.528801046
1.0,11531.544613579
1.0,11531.562196593
1.0,11531.578254914
1.0,11531.595156721
1.0,11531.611542882
1.0,11531.628026775
1.0,11531.644181734
1.0,11531.660960647
1.0,11531.677408073
1.0,11531.69386571
1.0,11531.710564395
1.0,11531.728799806
1.0,11531.744644795
1.0,11531.761441211
1.0,11531.776948149
1.0,11531.794089181
1.0,11531.811153996
1.0,11531.827174027
1.0,11531.843846091
1.0,11531.86044522
1.0,11531.876783974
1.0,11531.893543923
1.0,11531.910277617
1.0,11531.926926342
1.0,11531.943621015
1.0,11531.960011188
1.0,11531.977024584
1.0,11531.99333854
1.0,11532.010658991
1.0,11532.026868651
1.0,11532.051380793
1.0,11532.060015855
1.0,11532.076699224
1.0,11532.09393033
1.0,11532.110523624
1.0,11532.127016634
1.0,11532.143242705
1.0,11532.159940295
1.0,11532.176827151
1.0,11532.193625756
1.0,11532.211728062
1.0,11532.234109427
1.0,11532.24438369
1.0,11532.261663661
1.0,11532.278083008
1.0,11532.294412645
1.0,11532.310876845
1.0,11532.328301956
1.0,11532.34455173
1.0,11532.360344571
1.0,11532.377718992
1.0,11532.393956367
1.0,11532.410337058
1.0,11532.426939834
1.0,11532.443875556
1.0,11532.458501082
1.0,11532.475499892
1.0,11532.491765711
1.0,11532.508280601
1.0,11532.525211947
1.0,11532.54164041
1.0,11532.558434274
1.0,11532.575211728
1.0,11532.591561787
1.0,11532.608388471
1.0,11532.624723578
1.0,11532.64180298
1.0,11532.658018111
1.0,11532.674897308
1.0,11532.691285657
1.0,11532.708100308
1.0,11532.724416087
1.0,11532.741779933
1.0,11532.75805961
1.0,11532.775005907
1.0,11532.7914289
1.0,11532.808448496
1.0,11532.824085986
1.0,11532.841423211
1.0,11532.857621202
1.0,11532.874550359
1.0,11532.891523277
1.0,11532.908112925
1.0,11532.923921082
1.0,11532.94112739
1.0,11532.957576274
1.0,11532.974747574
1.0,11532.990974738
1.0,11533.007918847
1.0,11533.02411939
1.0,11533.048748957
1.0,11533.058336542
1.0,11533.074457587
1.0,11533.090756956
1.0,11533.107479709
1.0,11533.123945004
1.0,11533.140584977
1.0,11533.157925484
1.0,11533.174453867
1.0,11533.191168962
1.0,11533.207418736
1.0,11533.224017136
1.0,11533.240515252
1.0,11533.25745936
1.0,11533.274090581
1.0,11533.29082938
1.0,11533.307290299
1.0,11533.323723867
1.0,11533.340511897
1.0,11533.357381612
