Marker,Timestamp

1.0,11143.666380034
1.0,11143.683061215
1.0,11143.699821894
1.0,11143.716449468
1.0,11143.734168869
1.0,11143.749804535
1.0,11143.766775995
1.0,11143.782909803
1.0,11143.800033695
1.0,11143.81644356
1.0,11143.832973037
1.0,11143.849646924
1.0,11143.866806554
1.0,11143.883492476
1.0,11143.90009671
1.0,11143.917318335
1.0,11143.932917169
1.0,11143.950838599
1.0,11143.965754403
1.0,11143.982993167
1.0,11143.999358542
1.0,11144.016794228
1.0,11144.032547684
1.0,11144.049736123
1.0,11144.06617735
1.0,11144.082733812
1.0,11144.099588577
1.0,11144.115791673
1.0,11144.13236564
1.0,11144.150262636
1.0,11144.165668924
1.0,11144.182524053
1.0,11144.199331775
1.0,11144.21668614
1.0,11144.232504142
1.0,11144.249714462
1.0,11144.266852211
1.0,11144.282346385
1.0,11144.298965936
1.0,11144.316018717
1.0,11144.332436605
1.0,11144.34912909
1.0,11144.366324458
1.0,11144.383896167
1.0,11144.399974545
1.0,11144.417008728
1.0,11144.432819802
1.0,11144.449569176
1.0,11144.465900637
1.0,11144.483153258
1.0,11144.498675147
1.0,11144.515425615
1.0,11144.532100596
1.0,11144.549401719
1.0,11144.565748496
1.0,11144.581733518
1.0,11144.59855218
1.0,11144.623541312
1.0,11144.632354335
1.0,11144.648627448
1.0,11144.66578416
1.0,11144.681878949
1.0,11144.700067683
1.0,11144.71585797
1.0,11144.732268564
1.0,11144.748823933
1.0,11144.766426275
1.0,11144.781888357
1.0,11144.798515931
1.0,11144.815317089
1.0,11144.832257186
1.0,11144.848621832
1.0,11144.865460186
1.0,11144.882251133
1.0,11144.906561976
1.0,11144.915288207
1.0,11144.931785228
1.0,11144.94837123
1.0,11144.965333937
1.0,11144.981903528
1.0,11144.998849825
1.0,11145.014833753
1.0,11145.031466797
1.0,11145.048473629
1.0,11145.065161374
1.0,11145.082176594
1.0,11145.098776088
1.0,11145.114403732
1.0,11145.130479193
1.0,11145.147773751
1.0,11145.164125633
1.0,11145.181164557
1.0,11145.198454739
1.0,11145.214113745
1.0,11145.23018957
1.0,11145.246641737
1.0,11145.264271794
1.0,11145.281284461
1.0,11145.298461595
1.0,11145.314720121
1.0,11145.331073097
1.0,11145.347306096
1.0,11145.364694011
1.0,11145.380736651
1.0,11145.396961992
1.0,11145.413527936
1.0,11145.430785663
1.0,11145.447647356
1.0,11145.464522542
1.0,11145.48167342
1.0,11145.49857231
1.0,11145.515137525
1.0,11145.531231219
1.0,11145.548387202
1.0,11145.564618742
1.0,11145.58147533
1.0,11145.598077377
1.0,11145.631978358
1.0,11145.635073692
1.0,11145.648011517
1.0,11145.665306805
1.0,11145.681506984
1.0,11145.695291212
1.0,11145.711675914
1.0,11145.728770633
1.0,11145.745172475
1.0,11145.761926954
1.0,11145.778602665
1.0,11145.795080723
1.0,11145.811719602
1.0,11145.828390572
1.0,11145.844928072
1.0,11145.861822221
1.0,11145.878884848
1.0,11145.896328922
1.0,11145.912557909
1.0,11145.928249371
1.0,11145.945266414
1.0,11145.963144447
1.0,11145.979154632
1.0,11145.995575802
1.0,11146.012112208
1.0,11146.029277672
1.0,11146.0451398
1.0,11146.062005869
1.0,11146.078416463
1.0,11146.094713645
1.0,11146.111365652
1.0,11146.128441772
1.0,11146.14509159
1.0,11146.161576578
1.0,11146.178185553
1.0,11146.194771919
1.0,11146.211536974
1.0,11146.228598872
1.0,11146.244900794
1.0,11146.261378123
1.0,11146.277918541
1.0,11146.294565077
1.0,11146.311405984
1.0,11146.328887619
1.0,11146.345052789
1.0,11146.361333196
1.0,11146.378333464
1.0,11146.394874611
1.0,11146.411291404
1.0,11146.428514123
1.0,11146.444887885
1.0,11146.461141305
1.0,11146.477759762
1.0,11146.49501129
1.0,11146.511303366
1.0,11146.528263155
1.0,11146.545391788
1.0,11146.561631351
1.0,11146.578847505
1.0,11146.595445906
1.0,11146.621225647
1.0,11146.627588804
1.0,11146.644595272
1.0,11146.661106516
1.0,11146.677761075
1.0,11146.694440068
1.0,11146.710744907
1.0,11146.727935899
1.0,11146.744951119
1.0,11146.76108748
1.0,11146.777436809
1.0,11146.794616496
1.0,11146.810730247
1.0,11146.82780418
1.0,11146.844384711
1.0,11146.861113663
1.0,11146.877622719
1.0,11146.894282019
1.0,11146.911047439
1.0,11146.928805131
1.0,11146.944190268
1.0,11146.961323641
1.0,11146.977430099
1.0,11146.994024488
1.0,11147.010460609
1.0,11147.027643578
1.0,11147.04448485
1.0,11147.060675182
1.0,11147.077319531
1.0,11147.093890216
1.0,11147.110605311
1.0,11147.127708781
1.0,11147.143940322
1.0,11147.16051903
1.0,11147.177398592
1.0,11147.19402653
1.0,11147.210514799
1.0,11147.227319239
1.0,11147.243706129
1.0,11147.260474467
1.0,11147.277294223
