,attentive cat,img1,img2
11,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1755.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3187.jpg
12,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3496.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3117.jpg
13,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2335.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene698.jpg
14,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2606.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene54.jpg
15,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1122.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3536.jpg
16,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3388.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2896.jpg
17,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face301.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3561.jpg
18,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1587.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1542.jpg
19,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1335.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1319.jpg
20,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2468.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3150.jpg
21,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3013.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene152.jpg
22,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face367.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1106.jpg
23,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1414.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene634.jpg
24,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face924.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3324.jpg
25,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face77.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1168.jpg
26,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1708.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3413.jpg
27,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face943.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene579.jpg
28,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face339.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3201.jpg
29,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face2370.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1234.jpg
30,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face166.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3122.jpg
31,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2354.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene906.jpg
32,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face545.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3450.jpg
33,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3224.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3387.jpg
