,attentive cat,img1,img2
11,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3228.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face244.jpg
12,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1276.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face185.jpg
13,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2115.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3664.jpg
14,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene692.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2470.jpg
15,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3128.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3273.jpg
16,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1861.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2770.jpg
17,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene628.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face248.jpg
18,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3067.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1965.jpg
19,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene848.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face191.jpg
20,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene426.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1315.jpg
21,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene704.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3601.jpg
22,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene816.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2590.jpg
23,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene172.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3633.jpg
24,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3112.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2843.jpg
25,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1348.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1373.jpg
26,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene795.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2821.jpg
27,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1564.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2587.jpg
28,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1342.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2478.jpg
29,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1112.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2681.jpg
30,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2603.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face1747.jpg
31,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene551.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3186.jpg
32,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene108.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2680.jpg
33,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2679.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene638.jpg
34,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2114.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene842.jpg
35,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3510.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3534.jpg
36,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3027.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene43.jpg
37,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2284.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3363.jpg
38,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face327.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1633.jpg
39,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2887.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1115.jpg
40,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3358.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3184.jpg
41,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2607.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1261.jpg
42,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2234.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1106.jpg
43,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3294.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene216.jpg
44,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1260.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3120.jpg
45,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1932.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1477.jpg
46,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3269.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene776.jpg
47,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2333.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1451.jpg
48,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1238.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3181.jpg
49,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face463.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene623.jpg
50,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face742.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene159.jpg
51,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3231.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1008.jpg
52,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1697.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3389.jpg
53,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2962.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1374.jpg
54,male,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3186.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3541.jpg
55,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene2803.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3061.jpg
56,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\outdoor\scene1115.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1664.jpg
57,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3525.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3345.jpg
58,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene632.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3038.jpg
59,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3381.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1504.jpg
60,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene921.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face2338.jpg
61,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1387.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1042.jpg
62,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene1517.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face1121.jpg
63,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3093.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\female\face3079.jpg
64,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3033.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3291.jpg
65,indoor,C:\Users\nicped\Documents\GitHub\closed_loop\data\indoor\scene3464.jpg,C:\Users\nicped\Documents\GitHub\closed_loop\data\male\face3100.jpg
