,attentive cat,img1,img2
11,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2354.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene1429.jpg
12,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3511.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene488.jpg
13,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2428.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene344.jpg
14,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2932.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3608.jpg
15,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2987.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3431.jpg
16,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1231.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene700.jpg
17,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face376.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3040.jpg
18,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2114.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1252.jpg
19,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2786.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2447.jpg
20,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1187.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3560.jpg
21,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3186.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene517.jpg
22,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3340.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\female\face54.jpg
23,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3112.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3632.jpg
24,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1281.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2303.jpg
25,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\outdoor\scene846.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face559.jpg
26,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene479.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2484.jpg
27,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1687.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1373.jpg
28,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1501.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1009.jpg
29,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene1621.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2729.jpg
30,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene740.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face2671.jpg
31,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene2590.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1933.jpg
32,indoor,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3462.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face328.jpg
33,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3080.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene273.jpg
34,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face3533.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3119.jpg
35,male,C:\Users\Greta\Documents\GitHub\closed_loop\data\male\face1085.jpg,C:\Users\Greta\Documents\GitHub\closed_loop\data\indoor\scene3300.jpg
