1.1494 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
278.1955 	EXP 	Created textGeneral = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='textGeneral', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'indoor', units='norm', win=Window(...), wrapWidth=1)
278.1960 	EXP 	window1: blendMode = 'avg'
278.2025 	EXP 	window1: blendMode = 'avg'
278.2125 	EXP 	window1: blendMode = 'avg'
278.2282 	EXP 	window1: blendMode = 'avg'
278.2439 	EXP 	window1: blendMode = 'avg'
278.2609 	EXP 	window1: blendMode = 'avg'
278.2781 	EXP 	window1: blendMode = 'avg'
278.2955 	EXP 	window1: blendMode = 'avg'
278.3110 	EXP 	window1: blendMode = 'avg'
278.3281 	EXP 	window1: blendMode = 'avg'
278.3449 	EXP 	window1: blendMode = 'avg'
278.3613 	EXP 	window1: blendMode = 'avg'
278.3780 	EXP 	window1: blendMode = 'avg'
278.3947 	EXP 	window1: blendMode = 'avg'
278.4111 	EXP 	window1: blendMode = 'avg'
278.4284 	EXP 	window1: blendMode = 'avg'
278.4446 	EXP 	window1: blendMode = 'avg'
278.4611 	EXP 	window1: blendMode = 'avg'
278.4777 	EXP 	window1: blendMode = 'avg'
278.4965 	EXP 	window1: blendMode = 'avg'
278.5116 	EXP 	window1: blendMode = 'avg'
278.5286 	EXP 	window1: blendMode = 'avg'
278.5456 	EXP 	window1: blendMode = 'avg'
278.5615 	EXP 	window1: blendMode = 'avg'
278.5787 	EXP 	window1: blendMode = 'avg'
278.5948 	EXP 	window1: blendMode = 'avg'
278.6124 	EXP 	window1: blendMode = 'avg'
278.6314 	EXP 	window1: blendMode = 'avg'
278.6457 	EXP 	window1: blendMode = 'avg'
278.6617 	EXP 	window1: blendMode = 'avg'
278.6787 	EXP 	window1: blendMode = 'avg'
278.6947 	EXP 	window1: blendMode = 'avg'
278.7122 	EXP 	window1: blendMode = 'avg'
278.7283 	EXP 	window1: blendMode = 'avg'
278.7452 	EXP 	window1: blendMode = 'avg'
278.7620 	EXP 	window1: blendMode = 'avg'
278.7770 	EXP 	window1: blendMode = 'avg'
278.7936 	EXP 	window1: blendMode = 'avg'
278.8105 	EXP 	window1: blendMode = 'avg'
278.8270 	EXP 	window1: blendMode = 'avg'
278.8444 	EXP 	window1: blendMode = 'avg'
278.8610 	EXP 	window1: blendMode = 'avg'
278.8775 	EXP 	window1: blendMode = 'avg'
278.8942 	EXP 	window1: blendMode = 'avg'
278.9105 	EXP 	window1: blendMode = 'avg'
278.9275 	EXP 	window1: blendMode = 'avg'
278.9439 	EXP 	window1: blendMode = 'avg'
278.9621 	EXP 	window1: blendMode = 'avg'
278.9774 	EXP 	window1: blendMode = 'avg'
278.9947 	EXP 	window1: blendMode = 'avg'
279.0105 	EXP 	window1: blendMode = 'avg'
279.0275 	EXP 	window1: blendMode = 'avg'
279.0440 	EXP 	window1: blendMode = 'avg'
279.0608 	EXP 	window1: blendMode = 'avg'
279.0771 	EXP 	window1: blendMode = 'avg'
279.0940 	EXP 	window1: blendMode = 'avg'
279.1108 	EXP 	window1: blendMode = 'avg'
279.1275 	EXP 	window1: blendMode = 'avg'
279.1439 	EXP 	window1: blendMode = 'avg'
279.1604 	EXP 	window1: blendMode = 'avg'
279.1773 	EXP 	window1: blendMode = 'avg'
279.1951 	EXP 	window1: blendMode = 'avg'
279.2109 	EXP 	window1: blendMode = 'avg'
279.2272 	EXP 	window1: blendMode = 'avg'
279.2458 	EXP 	window1: blendMode = 'avg'
279.2602 	EXP 	window1: blendMode = 'avg'
279.2770 	EXP 	window1: blendMode = 'avg'
279.2938 	EXP 	window1: blendMode = 'avg'
279.3107 	EXP 	window1: blendMode = 'avg'
279.3269 	EXP 	window1: blendMode = 'avg'
279.3440 	EXP 	window1: blendMode = 'avg'
279.3607 	EXP 	window1: blendMode = 'avg'
279.3767 	EXP 	window1: blendMode = 'avg'
279.3940 	EXP 	window1: blendMode = 'avg'
279.4113 	EXP 	window1: blendMode = 'avg'
279.4271 	EXP 	window1: blendMode = 'avg'
279.4448 	EXP 	window1: blendMode = 'avg'
279.4604 	EXP 	window1: blendMode = 'avg'
279.4786 	EXP 	window1: blendMode = 'avg'
279.4932 	EXP 	window1: blendMode = 'avg'
279.5104 	EXP 	window1: blendMode = 'avg'
279.5269 	EXP 	window1: blendMode = 'avg'
279.5434 	EXP 	window1: blendMode = 'avg'
279.5603 	EXP 	window1: blendMode = 'avg'
279.5768 	EXP 	window1: blendMode = 'avg'
279.5951 	EXP 	window1: blendMode = 'avg'
279.6114 	EXP 	window1: blendMode = 'avg'
279.6262 	EXP 	window1: blendMode = 'avg'
279.6444 	EXP 	window1: blendMode = 'avg'
279.6601 	EXP 	window1: blendMode = 'avg'
279.6770 	EXP 	window1: blendMode = 'avg'
279.6933 	EXP 	window1: blendMode = 'avg'
279.7103 	EXP 	window1: blendMode = 'avg'
279.7270 	EXP 	window1: blendMode = 'avg'
279.7449 	EXP 	window1: blendMode = 'avg'
279.7603 	EXP 	window1: blendMode = 'avg'
279.7758 	EXP 	window1: blendMode = 'avg'
279.7932 	EXP 	window1: blendMode = 'avg'
279.8095 	EXP 	window1: blendMode = 'avg'
279.8267 	EXP 	window1: blendMode = 'avg'
279.8448 	EXP 	window1: blendMode = 'avg'
279.8607 	EXP 	window1: blendMode = 'avg'
279.8766 	EXP 	window1: blendMode = 'avg'
279.8936 	EXP 	window1: blendMode = 'avg'
279.9100 	EXP 	window1: blendMode = 'avg'
279.9267 	EXP 	window1: blendMode = 'avg'
279.9431 	EXP 	window1: blendMode = 'avg'
279.9599 	EXP 	window1: blendMode = 'avg'
279.9762 	EXP 	window1: blendMode = 'avg'
279.9942 	EXP 	window1: blendMode = 'avg'
280.0097 	EXP 	window1: blendMode = 'avg'
280.0285 	EXP 	window1: blendMode = 'avg'
280.0431 	EXP 	window1: blendMode = 'avg'
280.0603 	EXP 	window1: blendMode = 'avg'
280.0766 	EXP 	window1: blendMode = 'avg'
280.0929 	EXP 	window1: blendMode = 'avg'
280.1098 	EXP 	window1: blendMode = 'avg'
280.1262 	EXP 	window1: blendMode = 'avg'
280.1433 	EXP 	window1: blendMode = 'avg'
280.1599 	EXP 	window1: blendMode = 'avg'
280.1770 	EXP 	window1: blendMode = 'avg'
280.1931 	EXP 	window1: blendMode = 'avg'
280.2100 	EXP 	window1: blendMode = 'avg'
280.2262 	EXP 	window1: blendMode = 'avg'
280.2429 	EXP 	window1: blendMode = 'avg'
280.2596 	EXP 	window1: blendMode = 'avg'
280.2767 	EXP 	window1: blendMode = 'avg'
280.2935 	EXP 	window1: blendMode = 'avg'
280.3093 	EXP 	window1: blendMode = 'avg'
280.3261 	EXP 	window1: blendMode = 'avg'
280.3425 	EXP 	window1: blendMode = 'avg'
280.3590 	EXP 	window1: blendMode = 'avg'
280.3768 	EXP 	window1: blendMode = 'avg'
280.3934 	EXP 	window1: blendMode = 'avg'
280.4106 	EXP 	window1: blendMode = 'avg'
280.4266 	EXP 	window1: blendMode = 'avg'
280.4448 	EXP 	window1: blendMode = 'avg'
280.4597 	EXP 	window1: blendMode = 'avg'
280.4807 	EXP 	window1: blendMode = 'avg'
280.4953 	EXP 	window1: blendMode = 'avg'
280.5120 	EXP 	window1: blendMode = 'avg'
280.5290 	EXP 	window1: blendMode = 'avg'
280.5453 	EXP 	window1: blendMode = 'avg'
280.5595 	EXP 	window1: blendMode = 'avg'
280.5788 	EXP 	window1: blendMode = 'avg'
280.5952 	EXP 	window1: blendMode = 'avg'
280.6120 	EXP 	window1: blendMode = 'avg'
280.6288 	EXP 	window1: blendMode = 'avg'
280.6454 	EXP 	window1: blendMode = 'avg'
280.6622 	EXP 	window1: blendMode = 'avg'
280.6786 	EXP 	window1: blendMode = 'avg'
280.6951 	EXP 	window1: blendMode = 'avg'
280.7117 	EXP 	window1: blendMode = 'avg'
280.7292 	EXP 	window1: blendMode = 'avg'
280.7461 	EXP 	window1: blendMode = 'avg'
280.7636 	EXP 	window1: blendMode = 'avg'
280.7795 	EXP 	window1: blendMode = 'avg'
280.7947 	EXP 	window1: blendMode = 'avg'
280.8110 	EXP 	window1: blendMode = 'avg'
280.8287 	EXP 	window1: blendMode = 'avg'
280.8461 	EXP 	window1: blendMode = 'avg'
280.8615 	EXP 	window1: blendMode = 'avg'
280.8781 	EXP 	window1: blendMode = 'avg'
280.8953 	EXP 	window1: blendMode = 'avg'
280.9121 	EXP 	window1: blendMode = 'avg'
280.9285 	EXP 	window1: blendMode = 'avg'
280.9446 	EXP 	window1: blendMode = 'avg'
280.9618 	EXP 	window1: blendMode = 'avg'
280.9780 	EXP 	window1: blendMode = 'avg'
280.9953 	EXP 	window1: blendMode = 'avg'
281.0114 	EXP 	window1: blendMode = 'avg'
281.0271 	EXP 	window1: blendMode = 'avg'
281.0440 	EXP 	window1: blendMode = 'avg'
281.0608 	EXP 	window1: blendMode = 'avg'
281.0776 	EXP 	window1: blendMode = 'avg'
281.0938 	EXP 	window1: blendMode = 'avg'
281.1124 	EXP 	window1: blendMode = 'avg'
281.1283 	EXP 	window1: blendMode = 'avg'
281.1443 	EXP 	window1: blendMode = 'avg'
281.1609 	EXP 	window1: blendMode = 'avg'
281.1992 	EXP 	window1: blendMode = 'avg'
281.2114 	EXP 	window1: blendMode = 'avg'
281.2276 	EXP 	window1: blendMode = 'avg'
281.2441 	EXP 	window1: blendMode = 'avg'
281.2607 	EXP 	window1: blendMode = 'avg'
281.2772 	EXP 	window1: blendMode = 'avg'
281.2937 	EXP 	window1: blendMode = 'avg'
281.3108 	EXP 	window1: blendMode = 'avg'
281.3280 	EXP 	window1: blendMode = 'avg'
281.3439 	EXP 	window1: blendMode = 'avg'
281.3612 	EXP 	window1: blendMode = 'avg'
281.3775 	EXP 	window1: blendMode = 'avg'
281.3937 	EXP 	window1: blendMode = 'avg'
281.4101 	EXP 	window1: blendMode = 'avg'
281.4264 	EXP 	window1: blendMode = 'avg'
281.4426 	EXP 	window1: blendMode = 'avg'
281.4590 	EXP 	window1: blendMode = 'avg'
281.4758 	EXP 	window1: blendMode = 'avg'
281.4925 	EXP 	window1: blendMode = 'avg'
281.5091 	EXP 	window1: blendMode = 'avg'
281.5256 	EXP 	window1: blendMode = 'avg'
281.5425 	EXP 	window1: blendMode = 'avg'
281.5589 	EXP 	window1: blendMode = 'avg'
281.5759 	EXP 	window1: blendMode = 'avg'
281.5922 	EXP 	window1: blendMode = 'avg'
281.6089 	EXP 	window1: blendMode = 'avg'
281.6254 	EXP 	window1: blendMode = 'avg'
281.6423 	EXP 	window1: blendMode = 'avg'
281.6589 	EXP 	window1: blendMode = 'avg'
281.6759 	EXP 	window1: blendMode = 'avg'
281.6923 	EXP 	window1: blendMode = 'avg'
281.7089 	EXP 	window1: blendMode = 'avg'
281.7256 	EXP 	window1: blendMode = 'avg'
281.7422 	EXP 	window1: blendMode = 'avg'
281.7587 	EXP 	window1: blendMode = 'avg'
281.7754 	EXP 	window1: blendMode = 'avg'
281.7917 	EXP 	window1: blendMode = 'avg'
281.8084 	EXP 	window1: blendMode = 'avg'
281.8250 	EXP 	window1: blendMode = 'avg'
281.8421 	EXP 	window1: blendMode = 'avg'
281.8591 	EXP 	window1: blendMode = 'avg'
281.8756 	EXP 	window1: blendMode = 'avg'
281.8921 	EXP 	window1: blendMode = 'avg'
281.9089 	EXP 	window1: blendMode = 'avg'
281.9254 	EXP 	window1: blendMode = 'avg'
281.9421 	EXP 	window1: blendMode = 'avg'
281.9595 	EXP 	window1: blendMode = 'avg'
281.9766 	EXP 	window1: blendMode = 'avg'
281.9920 	EXP 	window1: blendMode = 'avg'
282.0086 	EXP 	window1: blendMode = 'avg'
282.0250 	EXP 	window1: blendMode = 'avg'
282.0419 	EXP 	window1: blendMode = 'avg'
282.0586 	EXP 	window1: blendMode = 'avg'
282.0753 	EXP 	window1: blendMode = 'avg'
282.0916 	EXP 	window1: blendMode = 'avg'
282.1081 	EXP 	window1: blendMode = 'avg'
282.1248 	EXP 	window1: blendMode = 'avg'
282.1418 	EXP 	window1: blendMode = 'avg'
282.1585 	EXP 	window1: blendMode = 'avg'
282.1751 	EXP 	window1: blendMode = 'avg'
282.2429 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.9,  0.9]), texRes=128, units=u'norm', win=Window(...))
283.2625 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.9,  0.9]), texRes=128, units=u'norm', win=Window(...))
284.2547 	EXP 	Created unnamed ImageStim = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image=Image(...), interpolate=False, mask=None, maskParams=None, name='unnamed ImageStim', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.9,  0.9]), texRes=128, units=u'norm', win=Window(...))
